employee_id,task_id,status,completion_date
EMP006,T003,Complete,2026-04-29
EMP006,T004,Complete,2026-05-02
EMP006,T005,Complete,2026-04-29
EMP006,T006,Complete,2026-04-29
EMP006,T007,Complete,2026-04-29
EMP006,T008,Complete,2026-04-30
EMP006,T009,Complete,2026-05-02
EMP006,T010,Complete,2026-05-02
EMP006,T011,Complete,2026-04-30
EMP006,T012,Complete,2026-04-30
EMP006,T013,Complete,2026-05-02
EMP006,T014,Complete,2026-04-30
EMP006,T015,Complete,2026-04-29
EMP007,T001,Complete,2026-04-18
EMP007,T002,Complete,2026-04-16
EMP007,T003,Complete,2026-04-19
EMP007,T004,Complete,2026-04-17
EMP007,T005,Complete,2026-04-18
EMP007,T006,Complete,2026-04-19
EMP007,T007,Complete,2026-04-17
EMP007,T008,Complete,2026-04-18
EMP007,T009,Complete,2026-04-18
EMP007,T010,Complete,2026-04-17
EMP007,T011,Complete,2026-04-18
EMP007,T012,Complete,2026-04-19
EMP007,T013,Complete,2026-04-17
EMP007,T014,Complete,2026-04-16
EMP007,T015,Complete,2026-04-19
EMP008,T001,Complete,2026-05-06
EMP008,T002,Complete,2026-05-04
EMP008,T003,Complete,2026-05-04
EMP008,T004,Complete,2026-05-05
EMP008,T005,Complete,2026-05-06
EMP008,T006,Complete,2026-05-05
EMP008,T007,Complete,2026-05-06
EMP008,T008,Complete,2026-05-06
EMP008,T009,Complete,2026-05-03
EMP008,T010,Complete,2026-05-06
EMP008,T011,Complete,2026-05-05
EMP008,T012,Complete,2026-05-05
EMP008,T013,Complete,2026-05-03
EMP008,T014,Complete,2026-05-05
EMP008,T015,Complete,2026-05-04
EMP009,T001,Complete,2026-04-18
EMP009,T002,Complete,2026-04-20
EMP009,T003,Complete,2026-04-20
EMP009,T004,Complete,2026-04-19
EMP009,T005,Complete,2026-04-18
EMP009,T006,Complete,2026-04-19
EMP009,T007,Complete,2026-04-18
EMP009,T008,Complete,2026-04-18
EMP009,T009,Complete,2026-04-21
EMP009,T010,Complete,2026-04-20
EMP009,T011,Complete,2026-04-20
EMP009,T012,Complete,2026-04-21
EMP009,T013,Complete,2026-04-19
EMP009,T014,Complete,2026-04-21
EMP009,T015,Complete,2026-04-20
EMP010,T001,Complete,2026-04-24
EMP010,T002,Complete,2026-04-25
EMP010,T003,Complete,2026-04-25
EMP010,T004,Pending,
EMP010,T005,Complete,2026-05-01
EMP010,T006,Complete,2026-05-09
EMP010,T007,Pending,
EMP010,T008,Complete,2026-05-12
EMP010,T009,Pending,
EMP010,T010,Complete,2026-05-09
EMP010,T011,Pending,
EMP010,T012,Complete,2026-04-27
EMP010,T013,Pending,
EMP010,T014,Complete,2026-05-07
EMP010,T015,Complete,2026-04-25
EMP011,T001,Complete,2026-05-09
EMP011,T002,Complete,2026-05-09
EMP011,T003,Complete,2026-05-06
EMP011,T004,Complete,2026-05-07
EMP011,T005,Complete,2026-05-09
EMP011,T006,Complete,2026-05-08
EMP011,T007,Complete,2026-05-08
EMP011,T008,Complete,2026-05-08
EMP011,T009,Complete,2026-05-06
EMP011,T010,Complete,2026-05-08
EMP011,T011,Complete,2026-05-06
EMP011,T012,Complete,2026-05-08
EMP011,T013,Complete,2026-05-07
EMP011,T014,Complete,2026-05-06
EMP011,T015,Complete,2026-05-08
EMP012,T001,Complete,2026-04-27
EMP012,T002,Complete,2026-04-24
EMP012,T003,Complete,2026-04-27
EMP012,T004,Complete,2026-04-27
EMP012,T005,Complete,2026-04-27
EMP012,T006,Complete,2026-04-27
EMP012,T007,Complete,2026-04-26
EMP012,T008,Complete,2026-04-26
EMP012,T009,Complete,2026-04-24
EMP012,T010,Complete,2026-04-24
EMP012,T011,Complete,2026-04-24
EMP012,T012,Complete,2026-04-26
EMP012,T013,Complete,2026-04-24
EMP012,T014,Complete,2026-04-27
EMP012,T015,Complete,2026-04-26
EMP013,T001,Complete,2026-05-07
EMP013,T002,Complete,2026-05-09
EMP013,T003,Complete,2026-05-12
EMP013,T004,Pending,
EMP013,T005,Pending,
EMP013,T006,Complete,2026-05-01
EMP013,T007,Pending,
EMP013,T008,Pending,
EMP013,T009,Pending,
EMP013,T010,Pending,
EMP013,T011,Complete,2026-05-10
EMP013,T012,Complete,2026-05-11
EMP013,T013,Complete,2026-05-11
EMP013,T014,Complete,2026-04-30
EMP013,T015,Complete,2026-04-27
EMP014,T001,Complete,2026-04-24
EMP014,T002,Complete,2026-04-22
EMP014,T003,Complete,2026-04-25
EMP014,T004,Complete,2026-04-24
EMP014,T005,Complete,2026-04-25
EMP014,T006,Complete,2026-04-25
EMP014,T007,Complete,2026-04-22
EMP014,T008,Complete,2026-04-23
EMP014,T009,Complete,2026-04-23
EMP014,T010,Complete,2026-04-24
EMP014,T011,Complete,2026-04-23
EMP014,T012,Complete,2026-04-24
EMP014,T013,Complete,2026-04-23
EMP014,T014,Complete,2026-04-22
EMP014,T015,Complete,2026-04-24
EMP015,T001,Pending,
EMP015,T002,Pending,
EMP015,T003,Pending,
EMP015,T004,Pending,
EMP015,T005,Complete,2026-05-10
EMP015,T006,Pending,
EMP015,T007,Pending,
EMP015,T008,Pending,
EMP015,T009,Pending,
EMP015,T010,Pending,
EMP015,T011,Pending,
EMP015,T012,Pending,
EMP015,T013,Complete,2026-05-08
EMP015,T014,Pending,
EMP015,T015,Complete,2026-05-11
EMP016,T001,Complete,2026-04-12
EMP016,T002,Complete,2026-04-14
EMP016,T003,Complete,2026-04-12
EMP016,T004,Complete,2026-04-14
EMP016,T005,Complete,2026-04-13
EMP016,T006,Complete,2026-04-12
EMP016,T007,Complete,2026-04-14
EMP016,T008,Complete,2026-04-14
EMP016,T009,Complete,2026-04-13
EMP016,T010,Complete,2026-04-12
EMP016,T011,Complete,2026-04-12
EMP016,T012,Complete,2026-04-13
EMP016,T013,Complete,2026-04-12
EMP016,T014,Complete,2026-04-13
EMP016,T015,Complete,2026-04-12
EMP017,T001,Pending,
EMP017,T002,Complete,2026-05-01
EMP017,T003,Complete,2026-05-07
EMP017,T004,Pending,
EMP017,T005,Complete,2026-05-06
EMP017,T006,Pending,
EMP017,T007,Pending,
EMP017,T008,Pending,
EMP017,T009,Pending,
EMP017,T010,Pending,
EMP017,T011,Pending,
EMP017,T012,Complete,2026-05-02
EMP017,T013,Pending,
EMP017,T014,Pending,
EMP017,T015,Complete,2026-05-01
EMP018,T001,Complete,2026-04-21
EMP018,T002,Complete,2026-04-22
EMP018,T003,Complete,2026-04-20
EMP018,T004,Complete,2026-04-22
EMP018,T005,Complete,2026-04-23
EMP018,T006,Complete,2026-04-21
EMP018,T007,Complete,2026-04-21
EMP018,T008,Complete,2026-04-23
EMP018,T009,Complete,2026-04-21
EMP018,T010,Complete,2026-04-22
EMP018,T011,Complete,2026-04-22
EMP018,T012,Complete,2026-04-23
EMP018,T013,Complete,2026-04-21
EMP018,T014,Complete,2026-04-20
EMP018,T015,Complete,2026-04-22
EMP019,T001,Complete,2026-05-05
EMP019,T002,Complete,2026-05-05
EMP019,T003,Complete,2026-05-05
EMP019,T004,Complete,2026-05-03
EMP019,T005,Complete,2026-05-06
EMP019,T006,Complete,2026-05-05
EMP019,T007,Complete,2026-05-04
EMP019,T008,Complete,2026-05-03
EMP019,T009,Complete,2026-05-05
EMP019,T010,Complete,2026-05-04
EMP019,T011,Complete,2026-05-05
EMP019,T012,Complete,2026-05-06
EMP019,T013,Complete,2026-05-03
EMP019,T014,Complete,2026-05-06
EMP019,T015,Complete,2026-05-03
EMP020,T001,Complete,2026-05-09
EMP020,T002,Complete,2026-05-09
EMP020,T003,Complete,2026-05-07
EMP020,T004,Complete,2026-05-08
EMP020,T005,Complete,2026-05-08
EMP020,T006,Complete,2026-05-09
EMP020,T007,Complete,2026-05-09
EMP020,T008,Complete,2026-05-10
EMP020,T009,Complete,2026-05-09
EMP020,T010,Complete,2026-05-07
EMP020,T011,Complete,2026-05-08
EMP020,T012,Complete,2026-05-08
EMP020,T013,Complete,2026-05-10
EMP020,T014,Complete,2026-05-08
EMP020,T015,Complete,2026-05-08
EMP021,T001,Pending,
EMP021,T002,Pending,
EMP021,T003,Pending,
EMP021,T004,Pending,
EMP021,T005,Pending,
EMP021,T006,Complete,2026-05-09
EMP021,T007,Pending,
EMP021,T008,Pending,
EMP021,T009,Pending,
EMP021,T010,Complete,2026-05-10
EMP021,T011,Pending,
EMP021,T012,Pending,
EMP021,T013,Pending,
EMP021,T014,Pending,
EMP021,T015,Complete,2026-05-11
EMP022,T001,Complete,2026-04-28
EMP022,T002,Complete,2026-04-27
EMP022,T003,Complete,2026-04-29
EMP022,T004,Complete,2026-04-26
EMP022,T005,Complete,2026-04-29
EMP022,T006,Complete,2026-04-28
EMP022,T007,Complete,2026-04-27
EMP022,T008,Complete,2026-04-26
EMP022,T009,Complete,2026-04-29
EMP022,T010,Complete,2026-04-27
EMP022,T011,Complete,2026-04-27
EMP022,T012,Complete,2026-04-29
EMP022,T013,Complete,2026-04-27
EMP022,T014,Complete,2026-04-27
EMP022,T015,Complete,2026-04-26
EMP023,T001,Complete,2026-05-10
EMP023,T002,Complete,2026-05-09
EMP023,T003,Complete,2026-05-10
EMP023,T004,Complete,2026-05-11
EMP023,T005,Complete,2026-05-11
EMP023,T006,Complete,2026-05-09
EMP023,T007,Complete,2026-05-09
EMP023,T008,Complete,2026-05-11
EMP023,T009,Complete,2026-05-10
EMP023,T010,Complete,2026-05-09
EMP023,T011,Complete,2026-05-12
EMP023,T012,Complete,2026-05-10
EMP023,T013,Complete,2026-05-10
EMP023,T014,Complete,2026-05-11
EMP023,T015,Complete,2026-05-09
EMP024,T001,Pending,
EMP024,T002,Pending,
EMP024,T003,Pending,
EMP024,T004,Pending,
EMP024,T005,Pending,
EMP024,T006,Pending,
EMP024,T007,Pending,
EMP024,T008,Pending,
EMP024,T009,Pending,
EMP024,T010,Pending,
EMP024,T011,Pending,
EMP024,T012,Pending,
EMP024,T013,Pending,
EMP024,T014,Complete,2026-05-10
EMP024,T015,Pending,
EMP025,T001,Complete,2026-05-08
EMP025,T002,Complete,2026-05-07
EMP025,T003,Complete,2026-05-10
EMP025,T004,Pending,
EMP025,T005,Pending,
EMP025,T006,Pending,
EMP025,T007,Pending,
EMP025,T008,Pending,
EMP025,T009,Pending,
EMP025,T010,Pending,
EMP025,T011,Pending,
EMP025,T012,Complete,2026-05-12
EMP025,T013,Complete,2026-05-07
EMP025,T014,Pending,
EMP025,T015,Complete,2026-05-12
EMP026,T001,Complete,2026-04-21
EMP026,T002,Complete,2026-04-24
EMP026,T003,Complete,2026-04-23
EMP026,T004,Complete,2026-04-24
EMP026,T005,Complete,2026-04-21
EMP026,T006,Complete,2026-04-23
EMP026,T007,Complete,2026-04-21
EMP026,T008,Complete,2026-04-22
EMP026,T009,Complete,2026-04-21
EMP026,T010,Complete,2026-04-21
EMP026,T011,Complete,2026-04-21
EMP026,T012,Complete,2026-04-23
EMP026,T013,Complete,2026-04-21
EMP026,T014,Complete,2026-04-21
EMP026,T015,Complete,2026-04-22
EMP027,T001,Complete,2026-05-12
EMP027,T002,Complete,2026-05-11
EMP027,T003,Pending,
EMP027,T004,Pending,
EMP027,T005,Complete,2026-05-06
EMP027,T006,Complete,2026-05-03
EMP027,T007,Pending,
EMP027,T008,Pending,
EMP027,T009,Pending,
EMP027,T010,Complete,2026-05-01
EMP027,T011,Pending,
EMP027,T012,Complete,2026-05-10
EMP027,T013,Complete,2026-05-05
EMP027,T014,Complete,2026-05-07
EMP027,T015,Complete,2026-04-29
EMP028,T001,Complete,2026-04-25
EMP028,T002,Complete,2026-04-23
EMP028,T003,Complete,2026-04-23
EMP028,T004,Complete,2026-04-26
EMP028,T005,Complete,2026-04-23
EMP028,T006,Complete,2026-04-23
EMP028,T007,Complete,2026-04-26
EMP028,T008,Complete,2026-04-24
EMP028,T009,Complete,2026-04-24
EMP028,T010,Complete,2026-04-23
EMP028,T011,Complete,2026-04-23
EMP028,T012,Complete,2026-04-25
EMP028,T013,Complete,2026-04-23
EMP028,T014,Complete,2026-04-25
EMP028,T015,Complete,2026-04-24
EMP029,T001,Complete,2026-04-29
EMP029,T002,Complete,2026-05-09
EMP029,T003,Pending,
EMP029,T004,Pending,
EMP029,T005,Complete,2026-05-06
EMP029,T006,Pending,
EMP029,T007,Pending,
EMP029,T008,Pending,
EMP029,T009,Pending,
EMP029,T010,Pending,
EMP029,T011,Pending,
EMP029,T012,Complete,2026-05-05
EMP029,T013,Complete,2026-05-06
EMP029,T014,Complete,2026-05-03
EMP029,T015,Complete,2026-05-02
EMP030,T001,Complete,2026-04-29
EMP030,T002,Complete,2026-04-30
EMP030,T003,Complete,2026-04-30
EMP030,T004,Complete,2026-04-29
EMP030,T005,Complete,2026-04-30
EMP030,T006,Complete,2026-04-29
EMP030,T007,Complete,2026-04-30
EMP030,T008,Complete,2026-05-02
EMP030,T009,Complete,2026-04-29
EMP030,T010,Complete,2026-05-02
EMP030,T011,Complete,2026-05-02
EMP030,T012,Complete,2026-04-30
EMP030,T013,Complete,2026-05-01
EMP030,T014,Complete,2026-05-02
EMP030,T015,Complete,2026-05-02
EMP031,T001,Pending,
EMP031,T002,Pending,
EMP031,T003,Complete,2026-05-06
EMP031,T004,Pending,
EMP031,T005,Pending,
EMP031,T006,Pending,
EMP031,T007,Pending,
EMP031,T008,Pending,
EMP031,T009,Pending,
EMP031,T010,Pending,
EMP031,T011,Pending,
EMP031,T012,Pending,
EMP031,T013,Pending,
EMP031,T014,Pending,
EMP031,T015,Pending,
EMP032,T001,Complete,2026-05-10
EMP032,T002,Complete,2026-05-08
EMP032,T003,Pending,
EMP032,T004,Pending,
EMP032,T005,Pending,
EMP032,T006,Pending,
EMP032,T007,Pending,
EMP032,T008,Pending,
EMP032,T009,Pending,
EMP032,T010,Pending,
EMP032,T011,Pending,
EMP032,T012,Pending,
EMP032,T013,Pending,
EMP032,T014,Pending,
EMP032,T015,Pending,
EMP033,T001,Complete,2026-05-12
EMP033,T002,Complete,2026-05-10
EMP033,T003,Complete,2026-05-09
EMP033,T004,Complete,2026-05-10
EMP033,T005,Complete,2026-05-12
EMP033,T006,Complete,2026-05-10
EMP033,T007,Complete,2026-05-12
EMP033,T008,Complete,2026-05-09
EMP033,T009,Complete,2026-05-09
EMP033,T010,Complete,2026-05-12
EMP033,T011,Complete,2026-05-09
EMP033,T012,Complete,2026-05-10
EMP033,T013,Complete,2026-05-09
EMP033,T014,Complete,2026-05-11
EMP033,T015,Complete,2026-05-09
EMP034,T001,Complete,2026-04-20
EMP034,T002,Complete,2026-04-19
EMP034,T003,Complete,2026-04-18
EMP034,T004,Complete,2026-04-18
EMP034,T005,Complete,2026-04-18
EMP034,T006,Complete,2026-04-19
EMP034,T007,Complete,2026-04-19
EMP034,T008,Complete,2026-04-20
EMP034,T009,Complete,2026-04-21
EMP034,T010,Complete,2026-04-19
EMP034,T011,Complete,2026-04-18
EMP034,T012,Complete,2026-04-20
EMP034,T013,Complete,2026-04-18
EMP034,T014,Complete,2026-04-18
EMP034,T015,Complete,2026-04-19
EMP035,T001,Complete,2026-05-06
EMP035,T002,Complete,2026-05-04
EMP035,T003,Complete,2026-05-05
EMP035,T004,Complete,2026-05-10
EMP035,T005,Pending,
EMP035,T006,Complete,2026-05-01
EMP035,T007,Pending,
EMP035,T008,Pending,
EMP035,T009,Pending,
EMP035,T010,Pending,
EMP035,T011,Pending,
EMP035,T012,Complete,2026-05-08
EMP035,T013,Pending,
EMP035,T014,Complete,2026-05-01
EMP035,T015,Complete,2026-05-04
EMP036,T001,Complete,2026-04-15
EMP036,T002,Complete,2026-04-17
EMP036,T003,Complete,2026-04-16
EMP036,T004,Complete,2026-04-16
EMP036,T005,Complete,2026-04-15
EMP036,T006,Complete,2026-04-16
EMP036,T007,Complete,2026-04-15
EMP036,T008,Complete,2026-04-16
EMP036,T009,Complete,2026-04-16
EMP036,T010,Complete,2026-04-15
EMP036,T011,Complete,2026-04-16
EMP036,T012,Complete,2026-04-16
EMP036,T013,Complete,2026-04-16
EMP036,T014,Complete,2026-04-17
EMP036,T015,Complete,2026-04-18
EMP037,T001,Complete,2026-04-25
EMP037,T002,Complete,2026-05-02
EMP037,T003,Pending,
EMP037,T004,Pending,
EMP037,T005,Complete,2026-05-08
EMP037,T006,Pending,
EMP037,T007,Pending,
EMP037,T008,Pending,
EMP037,T009,Pending,
EMP037,T010,Complete,2026-04-18
EMP037,T011,Pending,
EMP037,T012,Complete,2026-04-26
EMP037,T013,Complete,2026-04-15
EMP037,T014,Pending,
EMP037,T015,Complete,2026-04-16
EMP038,T001,Complete,2026-05-03
EMP038,T002,Complete,2026-05-01
EMP038,T003,Complete,2026-05-02
EMP038,T004,Complete,2026-04-30
EMP038,T005,Complete,2026-05-03
EMP038,T006,Complete,2026-05-03
EMP038,T007,Complete,2026-05-01
EMP038,T008,Complete,2026-04-30
EMP038,T009,Complete,2026-04-30
EMP038,T010,Complete,2026-04-30
EMP038,T011,Complete,2026-05-01
EMP038,T012,Complete,2026-05-02
EMP038,T013,Complete,2026-05-03
EMP038,T014,Complete,2026-05-01
EMP038,T015,Complete,2026-04-30
EMP039,T001,Complete,2026-04-18
EMP039,T002,Complete,2026-04-18
EMP039,T003,Complete,2026-04-15
EMP039,T004,Complete,2026-04-15
EMP039,T005,Complete,2026-04-18
EMP039,T006,Complete,2026-04-18
EMP039,T007,Complete,2026-04-17
EMP039,T008,Complete,2026-04-17
EMP039,T009,Complete,2026-04-16
EMP039,T010,Complete,2026-04-18
EMP039,T011,Complete,2026-04-17
EMP039,T012,Complete,2026-04-18
EMP039,T013,Complete,2026-04-15
EMP039,T014,Complete,2026-04-17
EMP039,T015,Complete,2026-04-15
EMP040,T001,Pending,
EMP040,T002,Pending,
EMP040,T003,Pending,
EMP040,T004,Pending,
EMP040,T005,Pending,
EMP040,T006,Pending,
EMP040,T007,Pending,
EMP040,T008,Pending,
EMP040,T009,Pending,
EMP040,T010,Pending,
EMP040,T011,Pending,
EMP040,T012,Pending,
EMP040,T013,Complete,2026-05-08
EMP040,T014,Pending,
EMP040,T015,Complete,2026-05-10
